Elapsed time;HTTP Request
02:14:14,0;829.5
02:14:14,500;960.075
02:14:15,0;914.3611111111111
02:14:15,500;1131.5322580645159
02:14:16,0;1048.2500000000005
02:14:16,500;1129.6122448979593
02:14:17,0;977.0181818181818
02:14:17,500;986.125
02:14:18,0;1008.7460317460317
02:14:18,500;1042.871794871795
02:14:19,0;991.9322033898305
02:14:19,500;984.1578947368421
02:14:20,0;1010.4098360655738
02:14:20,500;992.5813953488372
02:14:21,0;1022.7619047619052
02:14:21,500;1081.3333333333335
02:14:22,0;878.2758620689655
02:14:22,500;1027.5151515151515
02:14:23,0;871.475
02:14:23,500;873.2857142857143
02:14:24,0;763.7692307692307
02:14:24,500;744.8181818181819
02:14:25,0;903.3333333333334
02:14:25,500;813.8333333333334
