Elapsed time;HTTP Request (success);HTTP Request 2 (success)
02:01:47,0;10.0;
02:01:48,0;49.0;20.0
02:01:49,0;62.0;41.0
02:01:50,0;46.0;52.0
02:01:51,0;44.0;45.0
02:01:52,0;41.0;51.0
02:01:53,0;59.0;41.0
02:01:54,0;42.0;65.0
02:01:55,0;50.0;34.0
02:01:56,0;37.0;36.0
02:01:57,0;37.0;32.0
02:01:58,0;29.0;36.0
02:01:59,0;36.0;34.0
02:02:00,0;35.0;34.0
02:02:01,0;39.0;38.0
02:02:02,0;35.0;36.0
02:02:03,0;28.0;37.0
02:02:04,0;24.0;26.0
02:02:05,0;10.0;18.0
02:02:06,0;6.0;6.0
02:02:07,0;2.0;7.0
02:02:08,0;;1.0
02:02:16,0;1.0;1.0
02:02:17,0;1.0;1.0
02:02:18,0;1.0;1.0
02:02:19,0;1.0;2.0
02:02:47,0;;2.0
02:02:48,0;10.0;8.0
02:02:49,0;17.0;27.0
02:02:50,0;29.0;29.0
02:02:51,0;34.0;28.0
02:02:52,0;30.0;32.0
02:02:53,0;31.0;35.0
02:02:54,0;30.0;30.0
02:02:55,0;34.0;33.0
02:02:56,0;19.0;22.0
02:02:57,0;19.0;25.0
02:02:58,0;3.0;11.0
02:02:59,0;;2.0
02:03:00,0;1.0;
02:03:01,0;1.0;1.0
02:03:02,0;;1.0
02:03:04,0;1.0;1.0
02:03:05,0;3.0;3.0
02:03:06,0;;2.0
02:03:07,0;3.0;1.0
02:03:08,0;2.0;2.0
02:03:09,0;3.0;3.0
02:03:10,0;;2.0
02:03:11,0;2.0;2.0
02:03:12,0;1.0;
02:03:13,0;;1.0
02:03:14,0;1.0;1.0
02:03:15,0;1.0;1.0
